lon,lat,obs,inv,rec,yao,shen
101.9,29.5,-378.577887939,-378.073539795,-398.18256665,-320.393630615,-420.860135498
101.9,29.7,-387.52209898,-386.882974592,-397.754533244,-301.791139576,-425.461446523
101.9,29.9,-411.720984479,-410.585770125,-400.414104674,-288.789112482,-423.999881396
101.9,30.1,-403.618422533,-402.032738127,-402.458002703,-292.590835369,-427.158115307
101.9,30.3,-349.739873193,-352.644672586,-412.887452447,-313.431709201,-436.751192844
101.9,30.5,-386.714226562,-385.73882251,-410.914938965,-331.629888184,-438.292475342
101.9,30.7,-383.459301828,-384.762233996,-424.525859092,-330.338643275,-437.852964266
101.9,30.9,-401.458979391,-400.656573395,-423.49385316,-323.685499461,-438.012498127
101.9,31.1,-394.995609766,-394.840484693,-422.076238473,-323.641112863,-436.375063039
101.9,31.3,-392.210217275,-392.820491771,-433.317287146,-321.87443127,-430.224541678
101.9,31.5,-410.784079346,-410.286672363,-425.800319092,-326.564920166,-429.156218506
101.9,31.7,-419.878571486,-419.614529383,-429.600503879,-338.480416322,-428.309627928
101.9,31.9,-412.02925476,-412.224658088,-442.958137205,-336.723842203,-427.94652076
101.9,32.1,-402.66123102,-404.230128203,-474.130013775,-333.478997658,-432.61614408
